repetition,scenario,defense,queries,abstract_query_cost,abstract_latency_ms,simulated_realistic_latency_ms
1,evidence_denial,FULL,5,14,14.516,335.2084
1,evidence_denial,CWR,3,10,7.5588,175.8844
1,evidence_denial,DFMR,5,14,52.2099,829.7112
1,amount_mutation,AP2_ONLY,0,0,2.6489,0.0
1,amount_mutation,MAJORITY,0,0,2.6498,0.0
1,amount_mutation,TTL,0,0,2.7288,0.0
1,amount_mutation,FULL,0,0,2.6672,0.0
1,amount_mutation,CWR,0,0,13.4745,0.0
1,amount_mutation,DFMR,0,0,2.5225,0.0
1,merchant_substitution,AP2_ONLY,0,0,2.5575,0.0
1,merchant_substitution,MAJORITY,0,0,2.752,0.0
1,merchant_substitution,TTL,0,0,2.6429,0.0
1,merchant_substitution,FULL,0,0,2.5067,0.0
1,merchant_substitution,CWR,0,0,3.2541,0.0
1,merchant_substitution,DFMR,0,0,3.0387,0.0
1,currency_substitution,AP2_ONLY,0,0,3.1726,0.0
1,currency_substitution,MAJORITY,0,0,2.7954,0.0
1,currency_substitution,TTL,0,0,2.7937,0.0
1,currency_substitution,FULL,0,0,2.8239,0.0
1,currency_substitution,CWR,0,0,2.9191,0.0
1,currency_substitution,DFMR,0,0,2.6834,0.0
1,evidence_signature_tampering,AP2_ONLY,0,0,4.2395,0.0
1,evidence_signature_tampering,MAJORITY,5,14,54.225,302.8126
1,evidence_signature_tampering,TTL,0,0,2.9608,0.0
1,evidence_signature_tampering,FULL,5,14,14.8343,323.4496
1,evidence_signature_tampering,CWR,3,10,7.9088,292.2973
1,evidence_signature_tampering,DFMR,5,14,33.9631,790.5701
1,ap2_token_tampering,AP2_ONLY,0,0,0.0703,0.0
1,ap2_token_tampering,MAJORITY,0,0,0.0888,0.0
1,ap2_token_tampering,TTL,0,0,0.0601,0.0
1,ap2_token_tampering,FULL,0,0,0.0669,0.0
1,ap2_token_tampering,CWR,0,0,0.0697,0.0
1,ap2_token_tampering,DFMR,0,0,0.0647,0.0
1,ap2_nonce_replay,AP2_ONLY,0,0,1.8956,0.0
1,ap2_nonce_replay,MAJORITY,0,0,1.3688,0.0
1,ap2_nonce_replay,TTL,0,0,1.959,0.0
1,ap2_nonce_replay,FULL,0,0,1.4093,0.0
1,ap2_nonce_replay,CWR,0,0,1.2681,0.0
1,ap2_nonce_replay,DFMR,0,0,1.3617,0.0
1,ap2_audience_confusion,AP2_ONLY,0,0,0.9567,0.0
1,ap2_audience_confusion,MAJORITY,0,0,0.8901,0.0
1,ap2_audience_confusion,TTL,0,0,0.8638,0.0
1,ap2_audience_confusion,FULL,0,0,0.7948,0.0
1,ap2_audience_confusion,CWR,0,0,0.8032,0.0
1,ap2_audience_confusion,DFMR,0,0,0.8387,0.0
1,ap2_transaction_swap,AP2_ONLY,0,0,1.5792,0.0
1,ap2_transaction_swap,MAJORITY,0,0,2.5007,0.0
1,ap2_transaction_swap,TTL,0,0,1.6349,0.0
1,ap2_transaction_swap,FULL,0,0,1.6308,0.0
1,ap2_transaction_swap,CWR,0,0,1.8108,0.0
1,ap2_transaction_swap,DFMR,0,0,1.9216,0.0
1,fault_budget_exceeded,AP2_ONLY,0,0,15.3712,0.0
1,fault_budget_exceeded,MAJORITY,5,14,65.3619,164.7572
1,fault_budget_exceeded,TTL,0,0,1.674,0.0
1,fault_budget_exceeded,FULL,5,14,77.4117,282.3472
1,fault_budget_exceeded,CWR,2,5,48.1818,290.9863
1,fault_budget_exceeded,DFMR,2,5,32.2046,412.9381
1,hidden_shared_dependency,AP2_ONLY,0,0,3.3698,0.0
1,hidden_shared_dependency,MAJORITY,5,14,65.8211,205.9055
1,hidden_shared_dependency,TTL,0,0,1.7156,0.0
1,hidden_shared_dependency,FULL,5,14,47.9319,286.525
1,hidden_shared_dependency,CWR,2,3,14.9557,178.3201
1,hidden_shared_dependency,DFMR,2,3,20.5173,241.6538
